CODE,DESCRIPTION,NON-FACILITY GLOBAL FEE,FACILITY GLOBAL FEE,PROFESSIONAL COMPONENT FEE,BR,PA,FU DAYS,CHANGE
10004,"FINE NEEDLE ASPIRATION BIOPSY, WITHOUT IMAGING",34.12,23.81,NA,NA,0,0,NA
10005,"FINE NEEDLE ASPIRATION BIOPSY, INCLUDING",82.15,39.23,NA,NA,0,0,NA
10006,"FINE NEEDLE ASPIRATION BIOPSY, INCLUDING",38.92,27.04,NA,NA,0,0,NA
10007,"FINE NEEDLE ASPIRATION BIOPSY, INCLUDING",180.07,51.13,NA,NA,0,0,NA
10008,"FINE NEEDLE ASPIRATION BIOPSY, INCLUDING",104.76,33.31,NA,NA,0,0,NA
10009,"FINE NEEDLE ASPIRATION BIOPSY, INCLUDING CT",304.85,61.82,NA,NA,0,0,NA
10010,"FINE NEEDLE ASPIRATION BIOPSY, INCLUDING CT",183.55,45.18,NA,NA,0,0,NA
10011,"FINE NEEDLE ASPIRATION BIOPSY, INCLUDING MR",400,92.73,NA,NA,0,0,NA
10012,"FINE NEEDLE ASPIRATION BIOPSY, INCLUDING MR",200,67.77,NA,NA,0,0,NA
10021,"FINE NEEDLE ASPIRATION BIOPSY, WITHOUT IMAGING",81.61,60,NA,NA,0,0,NA
10030,FLUID COLLECTION DRAINAGE BY CATHETER,504.97,83.15,NA,NA,0,0,NA
10035,PLACEMENT OF SOFT TISSUE LOCALIZATION DEVICE,349.63,47.4,NA,NA,0,0,NA
10036,PLACEMENT OF SOFT TISSUE LOCALIZATION DEVICE,304.15,23.93,NA,NA,0,0,NA
10040,"ACNE SURGERY (EG, MARSUPIALIZATION, OPEN",54.25,39.26,NA,NA,1,10,NA
10060,"INCISION AND DRAINAGE OF ABSCESS (EG, CA",60.5,43.24,NA,NA,0,10,NA
10061,"INCISION AND DRAINAGE OF ABSCESS (EG, CA",103.19,76.76,NA,NA,0,10,NA
10080,INCISION AND DRAINAGE OF PILONIDAL CYST;,97.93,45.1,NA,NA,0,10,NA
10081,INCISION AND DRAINAGE OF PILONIDAL CYST;,148.94,76.74,NA,NA,0,10,NA
10120,"INCISION AND REMOVAL OF FOREIGN BODY, SU",78.42,42.79,NA,NA,0,10,NA
10121,"INCISION AND REMOVAL OF FOREIGN BODY, SU",149.18,87.61,NA,NA,0,10,NA
10140,"INCISION AND DRAINAGE OF HEMATOMA, SEROM",85.5,56.28,NA,NA,0,10,NA
10160,"PUNCTURE ASPIRATION OF ABSCESS, HEMATOMA",70.27,45.44,NA,NA,0,10,NA
10180,"INCISION AND DRAINAGE, COMPLEX, POSTOPER",131,83.94,NA,NA,0,10,NA
11000,DEBRIDEMENT OF EXTENSIVE ECZEMATOUS OR I,29.85,15.44,NA,NA,0,0,NA
11001,DEBRIDEMENT OF EXTENSIVE ECZEMATOUS OR I,12.58,7.82,NA,NA,0,0,NA
11004,"DEBRIDEMENT OF SKIN, SUBCUTANEOUS TISSUE",322.79,268.99,NA,NA,0,0,NA
11005,"DEBRIDEMENT OF SKIN, SUBCUTANEOUS TISSUE",427.08,355.9,NA,NA,0,0,NA
11006,"DEBRIDEMENT OF SKIN, SUBCUTANEOUS TISSUE",404.45,337.05,NA,NA,0,0,NA
11008,"REMOVAL OF PROSTHETIC MATERIAL OR MESH,",156.52,130.43,NA,NA,0,0,NA
11010,DEBRIDEMENT INCLUDING REMOVAL OF FOREIGN,268.67,134.48,NA,NA,0,10,NA
11011,DEBRIDEMENT INCLUDING REMOVAL OF FOREIGN,304.47,142.57,NA,NA,0,0,NA
11012,DEBRIDEMENT INCLUDING REMOVAL OF FOREIGN,426.15,209.71,NA,NA,0,0,NA
11042,"DEBRIDEMENT; SKIN, AND SUBCUTANEOUS TISS",42.77,22.93,NA,NA,0,0,NA
11043,"DEBRIDEMENT; SKIN, SUBCUTANEOUS TISSUE,",153.95,112,NA,NA,0,0,NA
11044,"DEBRIDEMENT; SKIN, SUBCUTANEOUS TISSUE,",207.99,156,NA,NA,0,0,NA
11045,"DEBRIDEMENT, SUBCUTANEOUS TISSUE (INCLUD",14.52,6.89,NA,NA,0,0,NA
11046,"DEBRIDEMENT, MUSCLE AND/OR FASCIA (INCLU",25.26,14.75,NA,NA,0,0,NA
11047,"DEBRIDEMENT, BONE (INCLUDES EPIDERMIS, D",41.37,25.57,NA,NA,0,0,NA
11055,PARING OR CUTTING OF BENIGN HYPERKERATOT,26.66,16,NA,NA,0,0,NA
11056,PARING OR CUTTING OF BENIGN HYPERKERATOT,32.79,20,NA,NA,0,0,NA
11057,PARING OR CUTTING OF BENIGN HYPERKERATOT,39.64,24,NA,NA,0,0,NA
11102,"TANGENTIAL BIOPSY OF SKIN (EG, SHAVE, SCOOP",64.49,21.73,NA,NA,0,0,NA
11103,"TANGENTIAL BIOPSY OF SKIN (EG, SHAVE, SCOOP",34.76,12.58,NA,NA,0,0,NA
11104,PUNCH BIOPSY OF SKIN (INCLUDING SIMPLE CLO,81.05,27.25,NA,NA,0,0,NA
11105,PUNCH BIOPSY OF SKIN (INCLUDING SIMPLE CLO,39.82,14.87,NA,NA,0,0,NA
11106,"INCISIONAL BIOPSY OF SKIN (EG, WEDGE) (INCLU",98.12,33.18,NA,NA,0,0,NA
11107,"INCISIONAL BIOPSY OF SKIN (EG, WEDGE) (INCLU",46.94,17.71,NA,NA,0,0,NA
11200,"REMOVAL OF SKIN TAGS, MULTIPLE FIBROCUTA",44.93,31.29,NA,NA,0,10,NA
11201,"REMOVAL OF SKIN TAGS, MULTIPLE FIBROCUTA",33,33,NA,NA,0,0,NA
11300,"SHAVING OF EPIDERMAL OR DERMAL LESION, S",37.93,16,NA,NA,0,0,NA
11301,"SHAVING OF EPIDERMAL OR DERMAL LESION, S",50.52,23.03,NA,NA,0,0,NA
11302,"SHAVING OF EPIDERMAL OR DERMAL LESION, S",60.1,28.34,NA,NA,0,0,NA
11303,"SHAVING OF EPIDERMAL OR DERMAL LESION, S",71.38,36,NA,NA,0,0,NA
11305,"SHAVING OF EPIDERMAL OR DERMAL LESION, S",38.87,17.63,NA,NA,0,0,NA
11306,"SHAVING OF EPIDERMAL OR DERMAL LESION, S",52.75,26.32,NA,NA,0,0,NA
11307,"SHAVING OF EPIDERMAL OR DERMAL LESION, S",61.42,30.47,NA,NA,0,0,NA
11308,"SHAVING OF EPIDERMAL OR DERMAL LESION, S",70.54,37.46,NA,NA,0,0,NA
11310,"SHAVING OF EPIDERMAL OR DERMAL LESION, S",46.49,19.67,NA,NA,0,0,NA
11311,"SHAVING OF EPIDERMAL OR DERMAL LESION, S",57.64,28.55,NA,NA,0,0,NA
11312,"SHAVING OF EPIDERMAL OR DERMAL LESION, S",67.01,32.87,NA,NA,0,0,NA
11313,"SHAVING OF EPIDERMAL OR DERMAL LESION, S",84.61,44.26,NA,NA,0,0,NA
