CPT,Specialty,data_year,num,charged,paid,n
142,IR,2011,2,836,0,1
142,IR,2012,8,3351.6,910.22,1
142,Neurology,2010,2,2279,0,1
142,Neurology,2011,5,2154.36,516.39,3
142,Neurology,2012,19,8072.37,1884.93,5
142,Neurology,2013,10,4337.86,1101.97,4
142,Neurology,2014,1,256.47,68.02,1
142,Neurology,2018,9,4369.26,665.16,3
142,Neurosurgery,2010,26,21450,3658.9300000000003,5
142,Neurosurgery,2011,18,14520,1741.5900000000001,2
142,Neurosurgery,2012,5,3960,803.11,2
142,Neurosurgery,2014,1,770,173.95,1
142,Vascular,2013,7,1028,0,1
142,Vascular,2014,1,304,0,1
400,Neurology,2010,5,6160.26,109.47,5
400,Neurology,2011,5,3086.82,740.59,4
400,Neurology,2012,15,10682.99,2167.77,5
400,Neurology,2013,4,2363.07,599.81,4
400,Neurology,2014,2,853.47,225.23000000000002,2
400,Neurology,2017,1,630.36,85.54,1
400,Neurosurgery,2010,4,4320,768.11,4
400,Neurosurgery,2011,1,770,148.37,1
400,Neurosurgery,2012,6,6952,205.62,4
400,Neurosurgery,2013,10,5926,1149.47,6
400,Neurosurgery,2014,2,1030,224.37,2
400,Neurosurgery,2017,2,958,175.38,1
400,Neurosurgery,2018,3,2860,558.6600000000001,3
400,Vascular,2012,1,1618.5,0,1
400,Vascular,2013,1,750,229.34,1
400,Vascular,2014,2,552,0,2
400,Vascular,2015,3,2295,289.05,1
400,Vascular,2016,6,2018.75,347.96999999999997,3
400,Vascular,2017,15,5425,894.41,5
400,Vascular,2018,24,8550,1376.7299999999998,3
630,IR,2010,17,56500,1955.25,2
630,Neurology,2010,4,6435,248.12,2
630,Neurology,2011,9,10201.34,1912.34,5
630,Neurology,2012,5,7058.32,1265.4,5
630,Neurology,2013,2,2974.4,377.7,1
630,Neurology,2014,2,3458.6,667.89,2
630,Neurosurgery,2010,7,11506,2492.5,4
630,Neurosurgery,2011,16,17168,4602.2,6
630,Neurosurgery,2012,22,23567.3,6847.990000000001,7
630,Neurosurgery,2013,29,32018,7527.44,10
630,Neurosurgery,2014,10,13454,3344.32,5
630,Neurosurgery,2015,1,3068.5,0,1
630,Neurosurgery,2016,4,7167,658.3000000000001,4
630,Neurosurgery,2018,1,2376,0,1
